"大分类","小分类","语言","名字","更新时间","下载地址","SHA1","大小"
"操作系统","Windows 10","中文 - 香港","Windows 10 Enterprise (x86) - DVD (Chinese-Hong Kong SAR)","2015-07-29","ed2k://|file|hk_windows_10_enterprise_x86_dvd_6846970.iso|3038197760|E8B930A641DB004D3EB7265933CE6E8A|/","7EAADFD45CFD0450AC0CA7441D3A3FD3CB540408","2.83GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 (Multiple Editions) (x64) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_multiple_editions_x64_dvd_6846864.iso|4222957568|1BD713DF6600508EE9A4DBC24C263087|/","E76B1C0462F23819D53DE39B57339B839916CA95","3.93GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 (Multiple Editions) (x86) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_multiple_editions_x86_dvd_6846866.iso|3167903744|3B92ACEAE36483F9E14AB31281802E79|/","DCE1044191D8B6854321AD0D47A4F76F857B6415","2.95GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Education (x64) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_education_x64_dvd_6847904.iso|4073508864|F2174FE7856205C9776526C94E61AAE2|/","B69DC4A5FD8B438E4F487E0A3AB3AD106F25FC69","3.79GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Education (x86) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_education_x86_dvd_6847918.iso|3020644352|2AF549A31B0DDD317AFA747E34E3C63B|/","EE2A2A041F0C56C9186C6917FDE6A2A8AAE38933","2.81GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Enterprise (x64) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_enterprise_x64_dvd_6846973.iso|4084531200|27302AA15035A3DBE39744D390239BDF|/","0A3E3FC6C556057CD395DF56AB9049B2CA4564A5","3.8GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Enterprise (x86) - DVD (Chinese-Traditional)","2015-07-29","ed2k://|file|tw_windows_10_enterprise_x86_dvd_6846977.iso|3034386432|F565555D7396CB63A5B424200265564D|/","7AA9B7B550D5C2A0E3BDC0E382674229A49680C4","2.83GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Enterprise 2016 LTSB (x64) - DVD (Chinese-Traditional)","2016-08-11","ed2k://|file|ct_windows_10_enterprise_2016_ltsb_x64_dvd_9057374.iso|3700002816|D69EE559CDF671386ACAB941D3528762|/","1CDE8B641C107FCF23FDF54C9B243DC152898800","3.45GB"
"操作系统","Windows 10","中文 - 繁体","Windows 10 Enterprise 2016 LTSB (x86) - DVD (Chinese-Traditional)","2016-08-11","ed2k://|file|ct_windows_10_enterprise_2016_ltsb_x86_dvd_9057437.iso|2741078016|BE559B78BE3BA1A6422DA5652494AB3A|/","4801545465C9C8206C804CB8FD540EBB5F64586D","2.55GB"
"操作系统","Windows 10","韩语","Windows 10 Enterprise 2015 LTSB (x64) - DVD (Korean)","2015-07-29","ed2k://|file|ko_windows_10_enterprise_2015_ltsb_x64_dvd_6850776.iso|3681466368|A61258984BA8622AF173FAEA50F6504E|/","AA1A2DB1541CE292B558580DECC27F7C96E7A8FE","3.43GB"
"操作系统","Windows 10","韩语","Windows 10 Enterprise 2016 LTSB (x64) - DVD (Korean)","2016-08-11","ed2k://|file|ko_windows_10_enterprise_2016_ltsb_x64_dvd_9057889.iso|3565109248|DE91DB1D2771B2666E144C8BAB475DBA|/","630CD7102EFC734539922ED85AC8A73058980CD8","3.32GB"
"操作系统","Windows 10","韩语","Windows 10 Enterprise 2016 LTSB (x86) - DVD (Korean)","2016-08-11","ed2k://|file|ko_windows_10_enterprise_2016_ltsb_x86_dvd_9058162.iso|2601588736|AC6A5FA4BA97D4AC240A645878334E00|/","CF78038329850D24E5643547E9C07A235B5154D5","2.42GB"
"操作系统","Windows 10","多国(语言包)","Windows 10 Language Pack (x64) - DVD (Multiple Languages)","2015-07-29","ed2k://|file|mu_windows_10_language_pack_x64_dvd_6846438.iso|1370247168|ED038183115D03F8627F22593425F246|/","8FFC07D8C6069746C8222DD6F65BAD2F779F735C","1.28GB"
"操作系统","Windows 10","多国(语言包)","Windows 10 Language Pack (x86) - DVD (Multiple Languages)","2015-07-29","ed2k://|file|mu_windows_10_language_pack_x86_dvd_6846439.iso|963231744|D6EF0A816846D3758B0D23894DA84159|/","0C406F723B21E54E9F1C0EED137114E6D722BF11","918.61MB"
"操作系统","Windows 10 Enterprise LTSC 2019","中文 - 简体","Windows 10 Enterprise LTSC 2019 (x64) - DVD (Chinese-Simplified)","2018-11-16","ed2k://|file|cn_windows_10_enterprise_ltsc_2019_x64_dvd_d17070a8.iso|4290967552|9E80DED85693E8E4E0D76E55B1207221|/","c0b4704e1336281c98a91438c7df0f14b8f41e46","4GB"
"操作系统","Windows 10 Enterprise LTSC 2019","中文 - 简体","Windows 10 Enterprise LTSC 2019 (x64) - DVD (Chinese-Simplified)","2018-10-03","ed2k://|file|cn_windows_10_enterprise_ltsc_2019_x64_dvd_2efc9ac2.iso|4027760640|4B1C7640C3A280F205A0BCFFF65472FC|/","e04252542aeb494464ad9231f4f2e2c021eab2ec","3.75GB"
"操作系统","Windows 10 Enterprise LTSC 2019","中文 - 简体","Windows 10 Enterprise LTSC 2019 (x86) - DVD (Chinese-Simplified)","2018-10-03","ed2k://|file|cn_windows_10_enterprise_ltsc_2019_x86_dvd_2908ee10.iso|2958997504|1B7EA35E2D14D4A05DFCAA861634494C|/","37cd47e5b0e28ace85672dc6731b58fe7539f84b","2.76GB"
"操作系统","Windows 10 Enterprise LTSC 2019","中文 - 简体","Windows 10 Enterprise LTSC 2019 (x86) - DVD (Chinese-Simplified)","2018-11-16","ed2k://|file|cn_windows_10_enterprise_ltsc_2019_x86_dvd_62156a9a.iso|3095267328|8C81DB85E8D1B0E431CFEB12CDBBF745|/","fbfeabde20b6f49aa0c7f8fd62a5ba029505f36f","2.88GB"
